NGC3496,OCL836,,OPNCL,2.635330815,-1.041379787,8.2,
NGC3532,OCL839,,OPNCL,2.881305884,-0.999491885,3,Pincushion Cluster
NGC3572,OCL846,,OPNCL,2.882789414,-1.042834228,6.6,
NGC3590,OCL852,,OPNCL,2.883574813,-1.033525805,8.2,
NGC103,OCL291,,OPNCL,0.007359471679,1.07017772,9.8,
NGC133,OCL296,,OPNCL,0.009104800931,1.105666081,9.4,
NGC189,OCL301,,OPNCL,0.01151917306,1.066105285,8.8,
NGC225,OCL305,,OPNCL,0.0126827259,1.078031701,7,
NGC278,UGC528,,GALXY,0.01515527567,0.8299040593,10.8,
NGC381,OCL317,,OPNCL,0.2642428488,1.074831931,9.3,
NGC433,OCL319,,OPNCL,0.2662208886,1.049524657,9,
NGC457,OCL321,,OPNCL,0.2674717079,1.017236066,6.4,
NGC609,OCL325,,OPNCL,0.2723877186,1.126319144,11,
NGC637,OCL329,,OPNCL,0.2743366696,1.117592498,8.2,
NGC654,OCL330,,OPNCL,0.274598469,1.080067919,6.5,
NGC7635,LBN549,,BRTNB,6.027261861,1.067850614,11,
NGC7654,M52,,OPNCL,6.028425414,1.074831931,6.9,Scorpion Cluster
NGC7788,OCL275,,OPNCL,6.037879281,1.071632161,9.4,
NGC7789,OCL269,,OPNCL,6.038082903,0.9898925741,6.7,
NGC7790,OCL276,,OPNCL,6.038373791,1.06843239,8.5,
NGC7795,,,OPNCL,6.038461057,1.047488439,12,
NGC3557,ESO377-16,,GALXY,2.882702148,-0.6364634006,10.4,
NGC3680,OCL823,,OPNCL,2.887240004,-0.7461282552,7.6,
NGC3706,ESO378- 6,,GALXY,2.888432646,-0.6213372137,11.3,
NGC3766,OCL860,,OPNCL,2.890323419,-1.05388798,5.3,
NGC3783,ESO378-14,,GALXY,2.891137906,-0.6329727421,11.7,
NGC3918,PK294+4.1,,PLNNB,2.894424943,-0.9916379033,8.4,
NGC3960,Mel108,,OPNCL,2.894512209,-0.948004672,8.3,
NGC4112,ESO321- 6,,GALXY,3.143687049,-0.6943501541,12,
NGC4219,ESO267-37,,GALXY,3.146392309,-0.7449647024,11.9,
NGC4230,OCL874,,OPNCL,3.14662502,-0.9584766476,9.4,
NGC4373,ESO322- 6,,GALXY,3.148952125,-0.6672975507,10.9,
NGC4373A,ESO322- 8,,GALXY,3.149039392,-0.6751515323,11.6,
NGC4603,ESO322-52,,GALXY,3.153489981,-0.6809692965,11.6,
NGC4645,ESO322-66,,GALXY,3.154449912,-0.7024950239,11.8,
NGC4650,ESO322-67,,GALXY,3.154479001,-0.6853326196,11.6,
NGC4696,ESO322-91,,GALXY,3.155787998,-0.7100581174,10.4,
NGC4709,ESO323- 3,,GALXY,3.156166153,-0.7088945645,10.9,
NGC4751,ESO323-29,,GALXY,3.156951551,-0.7214027575,11.8,
NGC4767,ESO323-36,,GALXY,3.157271528,-0.6681702153,11.5,
NGC4835,ESO269-19,,GALXY,3.158493259,-0.7981972446,11.6,
NGC4852,Dunlop311,,OPNCL,3.40342113,-1.018981395,8.9,
NGC4930,ESO323-74,,GALXY,3.404584683,-0.7083127881,11.1,
NGC4936,ESO443-47,,GALXY,3.404642861,-0.5142903529,10.8,
NGC4947,IC3974,,GALXY,3.404933749,-0.605047474,11.8,
NGC4945,Dunlop411,,GALXY,3.404962838,-0.8470664636,8.6,
NGC4976,ESO219-29,,GALXY,3.40589368,-0.8464846872,10,
NGC5011,ESO269-65,,GALXY,3.407144499,-0.7487462491,11.4,
NGC5026,ESO269-73,,GALXY,3.407522654,-0.7161667697,11.5,
NGC5090,ESO270- 2,,GALXY,3.409558871,-0.7382742736,11.6,
NGC5102,ESO382-50,,GALXY,3.409791582,-0.6172647788,9.6,
NGC5121,ESO382-57,,GALXY,3.410606069,-0.6338454067,11.5,
NGC5128,Dunlop482,,GALXY,3.410809691,-0.7502006901,6.8,
NGC5140,ESO382-65,,GALXY,3.41107149,-0.5608324663,11.8,
NGC5139,,,GLOCL,3.411187845,-0.8118689904,3.9,Omega Centauri
NGC5138,OCL902,,OPNCL,3.411333289,-1.029162482,7.6,
NGC5156,ESO220-13,,GALXY,3.411740533,-0.8217591895,11.7,
NGC5161,ESO383- 4,,GALXY,3.411885977,-0.5727588829,11.2,
NGC5168,OCL905,,OPNCL,3.412438665,-1.030907812,9.1,
NGC5193,ESO383-15,,GALXY,3.412671375,-0.5718862182,11.6,
NGC5206,ESO220-18,,GALXY,3.413194974,-0.8351400471,10.6,
NGC5253,ESO445- 4,,GALXY,3.414998481,-0.529707428,10.4,
NGC5266A,ESO220-30,,GALXY,3.415202103,-0.8316493886,12,
NGC5266,ESO220-33,,GALXY,3.415900234,-0.8348491589,11.1,
NGC5286,Dunlop388,,GLOCL,3.416889254,-0.8837183779,7.4,
NGC5281,OCL911,,OPNCL,3.416947432,-1.066105285,5.9,
NGC5284,ESO133-?4,,OPNCL,3.417180142,-1.027126265,10,
NGC5292,ESO445-31,,GALXY,3.417267409,-0.5073090359,11.9,
NGC5316,OCL913,,OPNCL,3.419100005,-1.049524657,6,
NGC5333,ESO221-17,,GALXY,3.41921636,-0.8287405065,11.9,
NGC5357,ESO445-78,,GALXY,3.419681781,-0.5174901232,12,
NGC5365,ESO271- 8,,GALXY,3.42020538,-0.7342018387,11.4,
NGC5381,OCL915,,OPNCL,3.665395051,-1.019563171,12,
NGC5419,ESO384-39,,GALXY,3.666238627,-0.5587962488,10.9,
NGC5460,OCL925,,OPNCL,3.667373091,-0.8316493886,5.6,
NGC5488,IC4375,,GALXY,3.667518535,-0.5704317772,11.9,
NGC5483,ESO271-19,,GALXY,3.668216667,-0.7446738142,11.2,
NGC5494,ESO446-25,,GALXY,3.668798443,-0.5122541355,11.9,
NGC5516,ESO221-34,,GALXY,3.669816552,-0.8357218235,12,
NGC5606,OCL922,,OPNCL,3.673278121,-1.018690507,7.7,
NGC5617,OCL919,,OPNCL,3.673830809,-1.034689358,6.3,
NGC5662,OCL928,,OPNCL,3.675547049,-0.9666215174,5.5,
NGC5786,ESO327-37,,GALXY,3.682324745,-0.7327473976,12,
NGC40,PK120+9.1,,PLNNB,0.003781546713,1.265654596,10.7,
NGC188,OCL309,,OPNCL,0.01381718991,1.487602299,8.1,
NGC2276,UGC3740,,GALXY,1.840507874,1.496619834,11.4,
NGC2300,UGC3798,,GALXY,1.841991404,1.496038057,11,
NGC6939,OCL217,,OPNCL,5.245150735,1.05883308,7.8,
NGC6946,UGC11597,,GALXY,5.246139754,1.049815545,8.8,
NGC6951,NGC6952,,GALXY,5.246808797,1.153662636,10.6,
NGC6952,NGC6951,,GALXY,5.246808797,1.153662636,11.8,
NGC7023,OCL235,,CL+NB,5.498252565,1.189732773,7.1,
NGC7129,OCL240,,CL+NB,5.510295337,1.153953524,11.5,
NGC7142,OCL241,,OPNCL,5.510935291,1.147844871,9.3,
NGC7160,OCL236,,OPNCL,5.513407841,1.092576112,6.1,
NGC7226,OCL226,,OPNCL,5.762640858,0.9672032938,9.6,
NGC7234,Cr447,,OPNCL,5.763193545,0.999491885,12,
NGC7235,OCL229,,OPNCL,5.763251723,0.9997827732,7.7,
NGC7261,OCL237,,OPNCL,5.765520651,1.013745407,8.4,
NGC7352,,,OPNCL,5.771163882,1.001818991,12,
NGC7380,OCL244,,OPNCL,5.773345544,1.014618072,7.2,
